,crn,stn,cast,press,theta,sigma,temp,csal,coxy,dic,ph,alk,phos,nit,sil,doc
22792,92.0,2.0,5.0,235.9,16.2665,25.412,16.3042,34.6435,191.9,2052.3,7.916,2283.0,0.42,4.85,4.78,59.59
22793,92.0,2.0,5.0,250.6,15.6713,25.493,15.7104,34.5722,186.9,2056.3,7.899,2282.0,0.48,5.75,5.42,58.91
22794,92.0,2.0,5.0,275.9,14.4071,25.67,14.4478,34.4425,198.8,2057.1,7.885,2261.0,0.56,6.88,6.85,61.94
22795,92.0,2.0,5.0,297.6,13.2705,25.823,13.312,34.3345,201.5,2066.5,7.854,2254.0,0.68,8.77,9.0,57.65
22797,92.0,2.0,5.0,347.4,11.5452,26.052,11.5894,34.1985,195.1,2086.4,7.801,2251.0,0.94,12.48,13.3,50.91
22798,92.0,2.0,5.0,401.0,9.5913,26.317,9.6367,34.0995,175.4,2127.6,7.706,2257.0,1.36,18.69,21.78,47.59
22799,92.0,2.0,5.0,502.3,7.32,26.654,7.3688,34.0851,114.7,2206.0,7.531,2271.0,2.11,28.62,44.77,44.56
22800,92.0,2.0,5.0,600.0,6.0632,26.872,6.1162,34.1485,61.1,2268.0,7.353,2289.0,2.64,35.62,65.96,47.1
22802,92.0,2.0,5.0,799.7,4.6217,27.226,4.6851,34.3789,32.9,2326.2,7.357,2340.0,3.0,41.02,96.04,47.78
22803,92.0,2.0,5.0,900.7,4.1778,27.307,4.2469,34.421,31.9,2339.3,7.356,2349.0,3.08,41.86,106.03,46.51
22804,92.0,2.0,5.0,1021.9,3.9187,27.386,3.9961,34.4865,42.1,2340.5,7.382,2360.0,3.02,41.53,109.7,47.04
22809,92.0,2.0,6.0,25.1,23.2792,24.016,23.2844,35.2151,215.5,1991.3,8.085,2320.0,0.08,0.01,1.38,97.26
22812,92.0,2.0,6.0,60.3,23.2803,24.016,23.2928,35.2151,215.5,1993.8,8.085,2312.0,0.07,0.01,1.55,87.3
22813,92.0,2.0,6.0,74.3,23.2785,24.016,23.2938,35.2149,215.5,1991.9,8.084,2319.0,0.07,0.01,1.53,82.8
22817,92.0,2.0,6.0,114.2,21.9223,24.408,21.9448,35.2217,204.5,2006.8,8.061,2312.0,0.07,0.1,1.66,77.43
22820,92.0,2.0,6.0,148.8,21.5167,24.546,21.5457,35.2549,214.0,2008.8,8.057,2317.0,0.07,0.12,1.87,70.5
22822,92.0,2.0,6.0,177.1,20.923,24.694,20.9569,35.2348,211.7,2009.8,8.048,2311.0,0.09,0.21,1.87,70.01
23012,93.0,2.0,1.0,4498.3,1.1113,27.788,1.4856,34.6893,152.5,2324.7,7.581,2410.0,2.48,35.73,148.71,41.13
23068,93.0,2.0,5.0,225.4,17.7951,25.259,17.8336,34.9177,210.9,2030.1,7.98,2290.0,0.22,2.06,3.28,54.79
23069,93.0,2.0,5.0,236.6,17.2195,25.343,17.2589,34.8457,208.4,2032.3,7.971,2284.0,0.26,2.53,4.04,59.78
23070,93.0,2.0,5.0,252.8,16.6166,25.393,16.6577,34.7242,203.8,2040.1,7.946,2283.0,0.31,3.34,4.1,57.63
23071,93.0,2.0,5.0,277.4,15.0704,25.577,15.1126,34.5077,197.5,2051.5,7.902,2266.0,0.49,5.61,6.15,54.81
23072,93.0,2.0,5.0,298.7,14.0511,25.725,14.0944,34.4166,201.9,2058.8,7.879,2260.0,0.57,7.23,8.13,50.61
23074,93.0,2.0,5.0,352.7,12.1158,25.979,12.1622,34.2434,196.3,2082.3,7.815,2259.0,0.86,11.53,12.27,52.86
23075,93.0,2.0,5.0,404.8,9.7876,26.295,9.8341,34.1129,180.9,2120.4,7.722,2260.0,1.29,17.67,20.32,54.04
23076,93.0,2.0,5.0,499.3,7.4017,26.636,7.4505,34.0774,124.9,2196.6,7.558,2269.0,2.01,27.57,43.68,51.21
23077,93.0,2.0,5.0,597.5,5.9322,26.893,5.9844,34.1544,61.4,2271.0,7.401,2294.0,2.63,36.03,67.89,52.48
23078,93.0,2.0,5.0,701.2,4.7764,27.119,4.8321,34.2667,31.6,2317.2,7.34,2323.0,2.96,40.73,90.8,46.61
23079,93.0,2.0,5.0,799.9,4.606,27.226,4.6693,34.3769,32.3,2327.7,7.353,2336.0,3.01,41.27,95.69,43.19
23080,93.0,2.0,5.0,901.1,4.2136,27.308,4.2829,34.4269,32.5,2339.8,7.36,2349.0,3.04,41.75,104.82,44.85
23081,93.0,2.0,5.0,1023.2,3.8412,27.389,3.9181,34.4805,43.6,2342.7,7.382,2363.0,3.02,41.63,110.9,49.58
23087,93.0,2.0,6.0,35.1,22.682,24.261,22.6891,35.311,216.6,1996.1,8.079,2318.0,0.06,0.01,1.05,93.34
23089,93.0,2.0,6.0,59.8,22.5384,24.31,22.5504,35.3218,217.8,1997.6,8.079,2322.0,0.05,0.01,0.94,83.87
23090,93.0,2.0,6.0,74.6,22.5337,24.311,22.5487,35.3218,217.6,1997.5,8.081,2316.0,0.06,0.01,1.08,82.11
23092,93.0,2.0,6.0,94.7,22.2352,24.394,22.2541,35.3184,217.5,1998.9,8.077,2323.0,0.05,0.01,1.06,77.14
23093,93.0,2.0,6.0,104.8,22.0508,24.441,22.0716,35.3128,218.4,2000.7,8.071,2315.0,0.05,0.02,1.08,75.87
23094,93.0,2.0,6.0,115.4,21.7121,24.512,21.7347,35.2818,216.9,2003.6,8.063,2311.0,0.07,0.02,1.27,71.28
23097,93.0,2.0,6.0,151.0,19.8006,24.909,19.8283,35.1247,207.9,2019.2,8.02,2306.0,0.13,0.86,2.2,55.47
23099,93.0,2.0,6.0,174.8,19.1306,25.034,19.1619,35.0611,208.6,2024.1,8.004,2299.0,0.18,1.41,2.09,59.47
23101,93.0,2.0,6.0,201.9,18.1154,25.186,18.1502,34.9252,208.8,2031.2,7.983,2299.0,0.22,2.02,3.89,60.46
23244,94.0,2.0,1.0,4501.1,1.1116,27.788,1.4862,34.6887,152.6,2324.6,7.58,2410.0,2.5,35.92,148.1,39.07
23282,94.0,2.0,3.0,105.4,22.3396,24.358,22.3607,35.3102,215.8,2002.6,8.071,2318.0,0.06,0.01,1.45,79.28
23284,94.0,2.0,3.0,125.8,21.4305,24.55,21.4549,35.2285,206.9,2010.5,8.05,2311.0,0.08,0.1,1.61,77.92
23285,94.0,2.0,3.0,135.5,21.0706,24.638,21.0967,35.2145,200.0,2016.4,8.037,2312.0,0.11,0.56,2.22,72.65
23286,94.0,2.0,3.0,150.4,20.6773,24.717,20.7058,35.178,199.7,2021.1,8.027,2303.0,0.14,0.85,3.18,68.94
23290,94.0,2.0,3.0,202.1,18.7735,25.077,18.8093,34.9978,199.6,2031.6,7.987,2296.0,0.21,1.9,3.8,62.89
23297,94.0,2.0,4.0,225.7,17.6703,25.27,17.7086,34.892,209.0,2033.2,7.974,2288.0,0.23,2.19,3.26,66.81
23298,94.0,2.0,4.0,235.7,17.1435,25.332,17.1827,34.8069,203.5,2038.7,7.955,2279.0,0.3,3.05,3.79,66.81
23299,94.0,2.0,4.0,250.4,15.915,25.471,15.9545,34.6148,192.3,2053.5,7.915,2274.0,0.42,4.79,4.92,67.6
23300,94.0,2.0,4.0,274.8,13.7927,25.75,13.832,34.3785,194.0,2068.7,7.859,2260.0,0.64,8.25,7.84,60.97
23301,94.0,2.0,4.0,299.8,13.0764,25.845,13.1177,34.3126,196.4,2074.6,7.842,2250.0,0.72,9.33,8.98,54.91
23303,94.0,2.0,4.0,351.5,10.8077,26.154,10.8506,34.158,196.5,2098.0,7.783,2250.0,1.02,13.89,15.17,53.26
23304,94.0,2.0,4.0,399.2,9.0184,26.386,9.0619,34.0693,177.1,2133.7,7.699,2253.0,1.39,19.37,24.67,54.73
23306,94.0,2.0,4.0,600.2,5.9356,26.889,5.9881,34.1497,47.6,2280.3,7.37,2291.0,2.74,36.8,69.31,53.26
23307,94.0,2.0,4.0,700.1,5.2744,27.054,5.3327,34.2571,25.9,2312.5,7.333,2313.0,2.98,40.17,83.67,53.74
23308,94.0,2.0,4.0,799.9,4.9028,27.184,4.9679,34.3657,24.2,2329.3,7.34,2328.0,3.03,41.36,92.0,47.78
23309,94.0,2.0,4.0,901.1,4.5076,27.295,4.5791,34.4505,30.8,2337.5,7.364,2343.0,3.05,41.97,99.3,47.09
