"","crn","stn","cast","mdate","press","theta","sigma","temp","csal","coxy","bsal","boxy","dic","ph","alk","phos","nit","sil","dop","don","doc","tdp","tdn","pc","pn","pp","lln","llp","atp","n2o","psi","p15n","no2"
"33",38,2,6,70592,129.3,21.4653,24.549,21.4905,35.2397,209.2,35.2402,208.4,2008.8,8.054,2321,0.08,0.02,1.69,0.19,5.54,-9,0.26,5.56,-9,-9,-9,8.2,51.8,-9,-9,-9,-9,5.2
"34",38,2,6,70592,178.1,20.2107,24.854,20.244,35.1946,198.2,35.1935,197.4,2026.2,8.015,2314,0.17,1.23,2.03,0.2,4.71,-9,0.36,5.94,-9,-9,-9,-9,164,-9,-9,-9,-9,34
"35",38,2,6,70592,200.2,19.4035,25.026,19.4398,35.1414,195,35.148,195.5,2043.9,7.995,2311,0.21,1.93,2.58,0.16,4.76,-9,0.37,6.69,-9,-9,-9,-9,215.8,-9,-9,-9,-9,22.5
"36",39,2,3,80592,278.9,12.3544,25.964,12.3915,34.2824,190.6,34.2812,190.4,2081.6,7.823,2262,0.84,11.66,10.94,0.12,3.79,-9,0.96,15.45,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"37",39,2,3,80592,1023.5,4.0086,27.385,4.0869,34.4971,44.8,34.4988,44.3,2340.6,7.397,2368,3.03,42.24,109.75,0.02,2.14,-9,3.05,44.39,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"38",39,2,9,80592,3003.8,1.3434,27.753,1.5618,34.6652,122.2,34.6656,124.1,2360.6,7.535,2420,2.64,38.18,159.53,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"39",39,2,9,80592,4005.5,1.1402,27.781,1.4585,34.6833,149.6,34.6833,148,2329.1,7.573,2420,2.5,36.3,150.62,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"40",39,2,12,80692,118.5,21.598,24.49,21.6211,35.2112,209.7,35.2072,207.1,2009.2,8.047,-9,-9,0.14,1.16,-9,6,-9,-9,6.13,-9,-9,-9,156.1,-9,-9,-9,-9,-9,-9
"41",39,2,12,80692,128.8,21.3172,24.562,21.3422,35.2036,200.7,35.2021,202.2,2018.4,8.041,2320,0.1,0.32,1.62,0.23,7.09,-9,0.33,7.41,-9,-9,-9,326.1,140.6,-9,-9,-9,-9,-9
"42",39,2,12,80692,153.5,19.9077,24.891,19.936,35.1375,190.3,35.1371,-9,2036.7,7.996,2317,0.21,1.77,2.07,0.21,4.95,-9,0.41,6.72,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"43",39,2,12,80692,178.8,19.0818,25.057,19.1139,35.0744,190.5,35.0737,190.4,2048.5,7.974,2305,0.23,2.67,3.04,0.18,5.1,-9,0.41,7.76,-9,-9,-9,-9,255.9,-9,-9,-9,-9,-9
"44",39,2,12,80692,231.4,16.0669,25.493,16.1037,34.6883,187.6,34.6874,187.9,2059.8,7.911,2287,0.45,5.82,5.92,0.17,5.27,-9,0.62,11.09,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"45",39,2,13,80692,9.9,26.0922,22.951,26.0944,34.9296,204.7,34.9304,205.1,1957.2,8.111,2297,0.06,0.01,0.91,0.22,5.55,-9,0.28,5.56,-9,-9,-9,4.5,105.5,-9,-9,-9,-9,-9
